;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.004,-0.001981
1,-0.003999,0.0045242
2,-0.003998,0.00777681
3,-0.003997,0.0126557
4,-0.003996,0.0191609
5,-0.003995,0.0256661
6,-0.003994,0.0354239
7,-0.003993,0.0403028
8,-0.003992,0.0451818
9,-0.003991,0.0500607
10,-0.00399,0.0565659
11,-0.003989,0.0630711
12,-0.003988,0.0695763
13,-0.003987,0.0760815
14,-0.003986,0.084213
15,-0.003985,0.0874656
16,-0.003984,0.0923445
17,-0.003983,0.0988497
18,-0.003982,0.103729
19,-0.003981,0.113486
20,-0.00398,0.121618
21,-0.003979,0.128123
22,-0.003978,0.131376
23,-0.003977,0.136255
24,-0.003976,0.139507
25,-0.003975,0.146012
26,-0.003974,0.15577
27,-0.003973,0.162275
28,-0.003972,0.167154
29,-0.003971,0.17366
30,-0.00397,0.176912
31,-0.003969,0.183417
32,-0.003968,0.188296
33,-0.003967,0.198054
34,-0.003966,0.204559
35,-0.003965,0.209438
36,-0.003964,0.215943
37,-0.003963,0.220822
38,-0.003962,0.225701
39,-0.003961,0.232206
40,-0.00396,0.238712
41,-0.003959,0.248469
42,-0.003958,0.251722
43,-0.003957,0.258227
44,-0.003956,0.26148
45,-0.003955,0.267985
46,-0.003954,0.27449
47,-0.003953,0.279369
48,-0.003952,0.289127
49,-0.003951,0.29238
50,-0.00395,0.298885
51,-0.003949,0.303764
52,-0.003948,0.308643
53,-0.003947,0.313522
54,-0.003946,0.321653
55,-0.003945,0.326532
56,-0.003944,0.333037
57,-0.003943,0.337916
58,-0.003942,0.346048
59,-0.003941,0.3493
60,-0.00394,0.354179
61,-0.003939,0.360684
62,-0.003938,0.36719
63,-0.003937,0.373695
64,-0.003936,0.3802
65,-0.003935,0.383453
66,-0.003934,0.388331
67,-0.003933,0.396463
68,-0.003932,0.399716
69,-0.003931,0.406221
70,-0.00393,0.412726
71,-0.003929,0.417605
72,-0.003928,0.42411
73,-0.003927,0.425736
74,-0.003926,0.433868
75,-0.003925,0.440373
76,-0.003924,0.445252
77,-0.003923,0.448505
78,-0.003922,0.45501
79,-0.003921,0.461515
80,-0.00392,0.466394
81,-0.003919,0.469647
82,-0.003918,0.476152
83,-0.003917,0.481031
84,-0.003916,0.487536
85,-0.003915,0.490788
86,-0.003914,0.49892
87,-0.003913,0.500546
88,-0.003912,0.507051
89,-0.003911,0.513557
90,-0.00391,0.516809
91,-0.003909,0.524941
92,-0.003908,0.528193
93,-0.003907,0.534699
94,-0.003906,0.537951
95,-0.003905,0.54283
96,-0.003904,0.549335
97,-0.003903,0.554214
98,-0.003902,0.559093
99,-0.003901,0.565598
100,-0.0039,0.567225
101,-0.003899,0.572104
102,-0.003898,0.578609
103,-0.003897,0.581861
104,-0.003896,0.588367
105,-0.003895,0.593246
106,-0.003894,0.598124
107,-0.003893,0.60463
108,-0.003892,0.606256
109,-0.003891,0.612761
110,-0.00389,0.616014
111,-0.003889,0.620893
112,-0.003888,0.625772
113,-0.003887,0.632277
114,-0.003886,0.635529
115,-0.003885,0.638782
116,-0.003884,0.645287
117,-0.003883,0.650166
118,-0.003882,0.655045
119,-0.003881,0.659924
120,-0.00388,0.663176
121,-0.003879,0.668055
122,-0.003878,0.671308
123,-0.003877,0.676187
124,-0.003876,0.679439
125,-0.003875,0.685945
126,-0.003874,0.689197
127,-0.003873,0.694076
128,-0.003872,0.697329
129,-0.003871,0.702208
130,-0.00387,0.70546
131,-0.003869,0.708713
132,-0.003868,0.715218
133,-0.003867,0.718471
134,-0.003866,0.721723
135,-0.003865,0.726602
136,-0.003864,0.729855
137,-0.003863,0.733107
138,-0.003862,0.739613
139,-0.003861,0.744492
140,-0.00386,0.747744
141,-0.003859,0.750997
142,-0.003858,0.754249
143,-0.003857,0.759128
144,-0.003856,0.762381
145,-0.003855,0.76726
146,-0.003854,0.770512
147,-0.003853,0.770512
148,-0.003852,0.777018
149,-0.003851,0.781897
150,-0.00385,0.785149
151,-0.003849,0.788402
152,-0.003848,0.791654
153,-0.003847,0.794907
154,-0.003846,0.79816
155,-0.003845,0.801412
156,-0.003844,0.804665
157,-0.003843,0.809544
158,-0.003842,0.814423
159,-0.003841,0.816049
160,-0.00384,0.819301
161,-0.003839,0.822554
162,-0.003838,0.82418
163,-0.003837,0.829059
164,-0.003836,0.830686
165,-0.003835,0.837191
166,-0.003834,0.840443
167,-0.003833,0.840443
168,-0.003832,0.84207
169,-0.003831,0.845322
170,-0.00383,0.850201
171,-0.003829,0.853454
172,-0.003828,0.856706
173,-0.003827,0.859959
174,-0.003826,0.861585
175,-0.003825,0.863212
176,-0.003824,0.866464
177,-0.003823,0.869717
178,-0.003822,0.872969
179,-0.003821,0.876222
180,-0.00382,0.879475
181,-0.003819,0.879475
182,-0.003818,0.882727
183,-0.003817,0.884354
184,-0.003816,0.887606
185,-0.003815,0.890859
186,-0.003814,0.895738
187,-0.003813,0.894111
188,-0.003812,0.897364
189,-0.003811,0.89899
190,-0.00381,0.902243
191,-0.003809,0.905495
192,-0.003808,0.908748
193,-0.003807,0.910374
194,-0.003806,0.912001
