;Scopy version,6fa2c03
;Exported on,Wednesday September 25/09/2019
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+07
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.00016,-1.52153,-1.44801
1,-0.0001599,-1.51842,-1.44957
2,-0.0001598,-1.51998,-1.44801
3,-0.0001597,-1.51998,-1.45114
4,-0.0001596,-1.52153,-1.44957
5,-0.0001595,-1.51842,-1.44957
6,-0.0001594,-1.51998,-1.45114
7,-0.0001593,-1.51687,-1.44957
8,-0.0001592,-1.52153,-1.44957
9,-0.0001591,-1.51998,-1.44957
10,-0.000159,-1.51998,-1.44957
11,-0.0001589,-1.51998,-1.44801
12,-0.0001588,-1.51842,-1.44957
13,-0.0001587,-1.51842,-1.44957
14,-0.0001586,-1.51842,-1.44957
15,-0.0001585,-1.51998,-1.44801
16,-0.0001584,-1.51842,-1.44801
17,-0.0001583,-1.51687,-1.44801
18,-0.0001582,-1.51687,-1.44957
19,-0.0001581,-1.51687,-1.44644
20,-0.000158,-1.51842,-1.45114
21,-0.0001579,-1.51998,-1.44957
22,-0.0001578,-1.51998,-1.45114
23,-0.0001577,-1.51531,-1.44801
24,-0.0001576,-1.51842,-1.44801
25,-0.0001575,-1.51687,-1.44801
26,-0.0001574,-1.51998,-1.44801
27,-0.0001573,-1.51842,-1.44801
28,-0.0001572,-1.51842,-1.44801
29,-0.0001571,-1.51842,-1.44644
30,-0.000157,-1.51842,-1.44957
31,-0.0001569,-1.51842,-1.44957
32,-0.0001568,-1.51842,-1.44957
33,-0.0001567,-1.51842,-1.44957
34,-0.0001566,-1.51842,-1.44801
35,-0.0001565,-1.51842,-1.44957
36,-0.0001564,-1.51842,-1.44957
37,-0.0001563,-1.51842,-1.44957
38,-0.0001562,-1.51842,-1.44957
39,-0.0001561,-1.51842,-1.44957
40,-0.000156,-1.51842,-1.45114
41,-0.0001559,-1.51842,-1.44957
42,-0.0001558,-1.51842,-1.44957
43,-0.0001557,-1.51687,-1.44957
44,-0.0001556,-1.51998,-1.45114
45,-0.0001555,-1.51998,-1.44801
46,-0.0001554,-1.51687,-1.44957
47,-0.0001553,-1.52153,-1.44957
48,-0.0001552,-1.51842,-1.45271
49,-0.0001551,-1.52153,-1.44957
50,-0.000155,-1.51842,-1.44957
51,-0.0001549,-1.52153,-1.44957
52,-0.0001548,-1.52153,-1.44957
53,-0.0001547,-1.51842,-1.44957
54,-0.0001546,-1.52153,-1.44957
55,-0.0001545,-1.51842,-1.44957
56,-0.0001544,-1.52153,-1.44957
57,-0.0001543,-1.51998,-1.44957
58,-0.0001542,-1.51842,-1.45114
59,-0.0001541,-1.52153,-1.44801
60,-0.000154,-1.51998,-1.44957
61,-0.0001539,-1.51998,-1.44957
62,-0.0001538,-1.51998,-1.44957
63,-0.0001537,-1.52153,-1.44957
64,-0.0001536,-1.51998,-1.45271
65,-0.0001535,-1.51998,-1.45114
66,-0.0001534,-1.51842,-1.45114
67,-0.0001533,-1.52153,-1.45271
68,-0.0001532,-1.51842,-1.44957
69,-0.0001531,-1.52153,-1.44957
70,-0.000153,-1.51842,-1.44957
71,-0.0001529,-1.52153,-1.44957
72,-0.0001528,-1.52153,-1.44957
73,-0.0001527,-1.51998,-1.44957
74,-0.0001526,-1.51998,-1.44957
75,-0.0001525,-1.51998,-1.45114
76,-0.0001524,-1.52153,-1.45114
77,-0.0001523,-1.51998,-1.45114
78,-0.0001522,-1.51998,-1.45114
79,-0.0001521,-1.51998,-1.45271
80,-0.000152,-1.51998,-1.44957
81,-0.0001519,-1.51998,-1.45114
82,-0.0001518,-1.51998,-1.45114
83,-0.0001517,-1.51998,-1.44957
84,-0.0001516,-1.51998,-1.44957
85,-0.0001515,-1.51998,-1.44957
86,-0.0001514,-1.51842,-1.44957
87,-0.0001513,-1.51842,-1.44957
88,-0.0001512,-1.51998,-1.44957
89,-0.0001511,-1.51998,-1.45114
90,-0.000151,-1.51998,-1.44801
91,-0.0001509,-1.51998,-1.45114
92,-0.0001508,-1.51998,-1.44957
93,-0.0001507,-1.51687,-1.44957
94,-0.0001506,-1.51998,-1.45114
95,-0.0001505,-1.51842,-1.44801
96,-0.0001504,-1.51842,-1.44801
97,-0.0001503,-1.51998,-1.44801
98,-0.0001502,-1.51998,-1.44801
99,-0.0001501,-1.51687,-1.44801
100,-0.00015,-1.52153,-1.44801
101,-0.0001499,-1.51842,-1.44801
102,-0.0001498,-1.51998,-1.44801
103,-0.0001497,-1.51998,-1.44801
104,-0.0001496,-1.51842,-1.44957
105,-0.0001495,-1.51998,-1.44957
106,-0.0001494,-1.51687,-1.44801
107,-0.0001493,-1.51842,-1.44801
108,-0.0001492,-1.51998,-1.44801
109,-0.0001491,-1.51998,-1.44801
110,-0.000149,-1.52153,-1.44957
111,-0.0001489,-1.52153,-1.44801
112,-0.0001488,-1.51998,-1.45114
113,-0.0001487,-1.51998,-1.44957
114,-0.0001486,-1.51998,-1.45114
115,-0.0001485,-1.51998,-1.44957
116,-0.0001484,-1.51998,-1.44957
117,-0.0001483,-1.52153,-1.44801
118,-0.0001482,-1.51842,-1.45114
119,-0.0001481,-1.51842,-1.44957
120,-0.000148,-1.51998,-1.45114
121,-0.0001479,-1.51998,-1.44801
122,-0.0001478,-1.51998,-1.45114
123,-0.0001477,-1.52153,-1.45114
124,-0.0001476,-1.52153,-1.44801
125,-0.0001475,-1.51998,-1.45114
126,-0.0001474,-1.51998,-1.44957
127,-0.0001473,-1.52153,-1.44957
128,-0.0001472,-1.51998,-1.44957
129,-0.0001471,-1.51998,-1.44957
130,-0.000147,-1.51998,-1.44957
131,-0.0001469,-1.52153,-1.44957
132,-0.0001468,-1.52153,-1.44957
133,-0.0001467,-1.52153,-1.44957
134,-0.0001466,-1.52153,-1.44957
135,-0.0001465,-1.51998,-1.44957
136,-0.0001464,-1.51998,-1.44957
137,-0.0001463,-1.52153,-1.45114
138,-0.0001462,-1.51842,-1.45114
139,-0.0001461,-1.52153,-1.44957
140,-0.000146,-1.51842,-1.44957
141,-0.0001459,-1.51998,-1.45114
142,-0.0001458,-1.51842,-1.44801
143,-0.0001457,-1.52153,-1.44957
144,-0.0001456,-1.51998,-1.44801
145,-0.0001455,-1.51998,-1.44957
146,-0.0001454,-1.52153,-1.44957
147,-0.0001453,-1.51842,-1.44801
148,-0.0001452,-1.52308,-1.45114
149,-0.0001451,-1.52308,-1.44957
150,-0.000145,-1.52153,-1.45271
151,-0.0001449,-1.52153,-1.45114
152,-0.0001448,-1.52153,-1.44957
153,-0.0001447,-1.51998,-1.44957
154,-0.0001446,-1.51998,-1.45114
155,-0.0001445,-1.51842,-1.44957
156,-0.0001444,-1.52153,-1.44957
157,-0.0001443,-1.51998,-1.45114
158,-0.0001442,-1.52153,-1.44801
159,-0.0001441,-1.51998,-1.44801
160,-0.000144,-1.51842,-1.44801
161,-0.0001439,-1.51998,-1.44801
162,-0.0001438,-1.52308,-1.45114
163,-0.0001437,-1.51998,-1.44957
164,-0.0001436,-1.51998,-1.44957
165,-0.0001435,-1.51998,-1.44957
166,-0.0001434,-1.51998,-1.44957
167,-0.0001433,-1.51998,-1.44957
168,-0.0001432,-1.51998,-1.45114
169,-0.0001431,-1.52153,-1.44957
170,-0.000143,-1.51842,-1.44801
171,-0.0001429,-1.51998,-1.44801
172,-0.0001428,-1.51065,-1.44644
173,-0.0001427,-1.66762,-1.46524
174,-0.0001426,0.458499,-1.28511
175,-0.0001425,1.40033,-1.28824
176,-0.0001424,1.40189,-1.32897
177,-0.0001423,1.41121,-1.35873
178,-0.0001422,1.41432,-1.13161
179,-0.0001421,1.42054,-0.890397
180,-0.000142,1.42209,-0.893529
181,-0.0001419,1.42209,-0.855938
182,-0.0001418,1.42365,-0.821479
183,-0.0001417,1.42365,-0.801117
184,-0.0001416,1.42365,-0.782321
185,-0.0001415,1.42209,-0.763525
186,-0.0001414,1.4252,-0.750994
187,-0.0001413,1.42365,-0.735331
188,-0.0001412,1.42831,-0.721234
189,-0.0001411,1.42365,-0.708704
190,-0.000141,1.42831,-0.694607
191,-0.0001409,1.42831,-0.678944
192,-0.0001408,1.42831,-0.664847
193,-0.0001407,1.42986,-0.649183
194,-0.0001406,1.42986,-0.636653
195,-0.0001405,1.42986,-0.619423
196,-0.0001404,1.43142,-0.605326
197,-0.0001403,1.42986,-0.588097
198,-0.0001402,1.42831,-0.575566
199,-0.0001401,1.43142,-0.558337
200,-0.00014,1.42831,-0.545806
201,-0.0001399,1.42831,-0.530143
202,-0.0001398,1.42676,-0.51448
203,-0.0001397,1.4252,-0.498817
204,-0.0001396,1.42676,-0.483153
205,-0.0001395,1.4252,-0.469057
206,-0.0001394,1.4252,-0.451827
207,-0.0001393,1.42676,-0.439296
208,-0.0001392,1.42676,-0.423633
209,-0.0001391,1.42831,-0.40797
210,-0.000139,1.42676,-0.392307
211,-0.0001389,1.42831,-0.376644
212,-0.0001388,1.42831,-0.36098
213,-0.0001387,1.42831,-0.345317
214,-0.0001386,1.42986,-0.329654
215,-0.0001385,1.42986,-0.313991
216,-0.0001384,1.43142,-0.298328
217,-0.0001383,1.43142,-0.282664
218,-0.0001382,1.43297,-0.267001
219,-0.0001381,1.43297,-0.252904
220,-0.000138,1.43453,-0.237241
221,-0.0001379,1.43453,-0.221578
222,-0.0001378,1.43608,-0.205915
223,-0.0001377,1.43297,-0.190251
224,-0.0001376,1.43453,-0.174588
225,-0.0001375,1.43608,-0.160491
226,-0.0001374,1.44074,-0.144828
227,-0.0001373,1.43608,-0.130731
228,-0.0001372,1.43919,-0.113502
229,-0.0001371,1.4423,-0.0978385
230,-0.000137,1.43763,-0.0837416
231,-0.0001369,1.44074,-0.0680784
232,-0.0001368,1.4423,-0.0508489
233,-0.0001367,1.44541,-0.0383184
234,-0.0001366,1.44074,-0.0195225
235,-0.0001365,1.44541,-0.00699194
236,-0.0001364,1.44541,0.00867127
237,-0.0001363,1.44541,0.0243345
238,-0.0001362,1.44696,0.0399977
239,-0.0001361,1.45007,0.0556609
240,-0.000136,1.45162,0.0681915
241,-0.0001359,1.45007,0.085421
242,-0.0001358,1.45007,0.101084
243,-0.0001357,1.45162,0.115181
244,-0.0001356,1.45162,0.130844
245,-0.0001355,1.45473,0.146508
246,-0.0001354,1.45628,0.162171
247,-0.0001353,1.45318,0.174701
248,-0.0001352,1.45784,0.191931
249,-0.0001351,1.45784,0.207594
250,-0.000135,1.45939,0.221691
251,-0.0001349,1.46095,0.237354
252,-0.0001348,1.45939,0.251451
253,-0.0001347,1.46095,0.267114
254,-0.0001346,1.4625,0.282777
255,-0.0001345,1.4625,0.296874
256,-0.0001344,1.46406,0.312537
257,-0.0001343,1.46561,0.326634
258,-0.0001342,1.46561,0.342298
259,-0.0001341,1.46716,0.357961
260,-0.000134,1.46716,0.372058
261,-0.0001339,1.46716,0.387721
262,-0.0001338,1.47027,0.401818
263,-0.0001337,1.47183,0.414348
264,-0.0001336,1.47183,0.431578
265,-0.0001335,1.47338,0.447241
266,-0.0001334,1.47494,0.462904
267,-0.0001333,1.47649,0.475435
268,-0.0001332,1.4796,0.491098
