;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V),M1(V)
0,-0.004,-0.00360731,-0.0092402,0.00488281
1,-0.003999,0.0012716,-0.00432747,0.00488281
2,-0.003998,0.0045242,0.000585269,0.00390625
3,-0.003997,0.0110294,0.00713558,0.00390625
4,-0.003996,0.0175346,0.0120483,0.00488281
5,-0.003995,0.0224135,0.0185986,0.00390625
6,-0.003994,0.0321713,0.0251489,0.0078125
7,-0.003993,0.0370502,0.0316993,0.00488281
8,-0.003992,0.0419291,0.0382496,0.00390625
9,-0.003991,0.0451818,0.0398871,0.00488281
10,-0.00399,0.051687,0.048075,0.00390625
11,-0.003989,0.0581922,0.0546253,0.00390625
12,-0.003988,0.0646974,0.0611757,0.00390625
13,-0.003987,0.0712026,0.067726,0.00390625
14,-0.003986,0.0777078,0.0742763,0.00390625
15,-0.003985,0.0825867,0.0775514,0.00488281
16,-0.003984,0.0874656,0.0824642,0.00488281
17,-0.003983,0.0939708,0.0890145,0.00488281
18,-0.003982,0.100476,0.0955648,0.00488281
19,-0.003981,0.106981,0.102115,0.00390625
20,-0.00398,0.113486,0.108665,0.00390625
21,-0.003979,0.118365,0.113578,0.00390625
22,-0.003978,0.124871,0.118491,0.00683594
23,-0.003977,0.129749,0.123404,0.00683594
24,-0.003976,0.133002,0.129954,0.00390625
25,-0.003975,0.139507,0.136504,0.00390625
26,-0.003974,0.149265,0.143055,0.00683594
27,-0.003973,0.154144,0.149605,0.00390625
28,-0.003972,0.159023,0.154518,0.00390625
29,-0.003971,0.163902,0.161068,0.00292969
30,-0.00397,0.170407,0.167618,0.00292969
31,-0.003969,0.17366,0.170893,0.00292969
32,-0.003968,0.180165,0.177444,0.00292969
33,-0.003967,0.191549,0.183994,0.0078125
34,-0.003966,0.193175,0.190544,0.00292969
35,-0.003965,0.19968,0.193819,0.00683594
36,-0.003964,0.206186,0.20037,0.00488281
37,-0.003963,0.211065,0.205283,0.00488281
38,-0.003962,0.215943,0.21347,0.00292969
39,-0.003961,0.222449,0.216746,0.00488281
40,-0.00396,0.227328,0.223296,0.00390625
41,-0.003959,0.235459,0.229846,0.00488281
42,-0.003958,0.240338,0.236397,0.00390625
43,-0.003957,0.245217,0.238034,0.0078125
44,-0.003956,0.250096,0.246222,0.00390625
45,-0.003955,0.254975,0.249497,0.00488281
46,-0.003954,0.26148,0.256047,0.00488281
47,-0.003953,0.269611,0.262598,0.0078125
48,-0.003952,0.276117,0.269148,0.0078125
49,-0.003951,0.280996,0.275698,0.00488281
50,-0.00395,0.287501,0.280611,0.0078125
51,-0.003949,0.289127,0.285524,0.00390625
52,-0.003948,0.295632,0.290437,0.00488281
53,-0.003947,0.300511,0.295349,0.00488281
54,-0.003946,0.307016,0.3019,0.00488281
55,-0.003945,0.315148,0.30845,0.00683594
56,-0.003944,0.3184,0.313363,0.00488281
57,-0.003943,0.324906,0.318275,0.00683594
58,-0.003942,0.328158,0.323188,0.00488281
59,-0.003941,0.333037,0.328101,0.00488281
60,-0.00394,0.339542,0.334651,0.00488281
61,-0.003939,0.346048,0.341202,0.00390625
62,-0.003938,0.354179,0.347752,0.00683594
63,-0.003937,0.357432,0.351027,0.00683594
64,-0.003936,0.363937,0.357577,0.00683594
65,-0.003935,0.36719,0.360852,0.00683594
66,-0.003934,0.373695,0.365765,0.0078125
67,-0.003933,0.376947,0.372316,0.00390625
68,-0.003932,0.383453,0.378866,0.00390625
69,-0.003931,0.388331,0.385416,0.00292969
70,-0.00393,0.394837,0.390329,0.00390625
71,-0.003929,0.399716,0.393604,0.00683594
72,-0.003928,0.404594,0.398517,0.00683594
73,-0.003927,0.407847,0.405067,0.00292969
74,-0.003926,0.414352,0.408342,0.00683594
75,-0.003925,0.420857,0.41653,0.00390625
76,-0.003924,0.427363,0.421443,0.00683594
77,-0.003923,0.430615,0.426356,0.00390625
78,-0.003922,0.43712,0.431268,0.00488281
79,-0.003921,0.440373,0.436181,0.00390625
80,-0.00392,0.445252,0.441094,0.00390625
81,-0.003919,0.450131,0.444369,0.00488281
82,-0.003918,0.456636,0.450919,0.00488281
83,-0.003917,0.463141,0.45747,0.00488281
84,-0.003916,0.466394,0.462382,0.00390625
85,-0.003915,0.471273,0.467295,0.00390625
86,-0.003914,0.476152,0.472208,0.00390625
87,-0.003913,0.481031,0.475483,0.00488281
88,-0.003912,0.487536,0.482033,0.00488281
89,-0.003911,0.494041,0.488584,0.00488281
90,-0.00391,0.497294,0.491859,0.00488281
91,-0.003909,0.500546,0.496771,0.00390625
92,-0.003908,0.507051,0.501684,0.00488281
93,-0.003907,0.510304,0.504959,0.00488281
94,-0.003906,0.515183,0.51151,0.00390625
95,-0.003905,0.521688,0.51806,0.00390625
96,-0.003904,0.526567,0.521335,0.00488281
97,-0.003903,0.52982,0.526248,0.00390625
98,-0.003902,0.537951,0.529523,0.0078125
99,-0.003901,0.539578,0.534436,0.00488281
100,-0.0039,0.544456,0.540986,0.00390625
101,-0.003899,0.549335,0.544261,0.00488281
102,-0.003898,0.552588,0.549174,0.00390625
103,-0.003897,0.559093,0.555724,0.00390625
104,-0.003896,0.565598,0.560637,0.00488281
105,-0.003895,0.568851,0.563912,0.00488281
106,-0.003894,0.572104,0.568825,0.00390625
107,-0.003893,0.576982,0.5721,0.00390625
108,-0.003892,0.583488,0.577013,0.00683594
109,-0.003891,0.58674,0.581926,0.00390625
110,-0.00389,0.591619,0.585201,0.00683594
111,-0.003889,0.594872,0.590113,0.00390625
112,-0.003888,0.603003,0.595026,0.0078125
113,-0.003887,0.60463,0.599939,0.00390625
114,-0.003886,0.607882,0.603214,0.00390625
115,-0.003885,0.614387,0.608127,0.00683594
116,-0.003884,0.61764,0.614677,0.00390625
117,-0.003883,0.624145,0.616315,0.0078125
118,-0.003882,0.629024,0.622865,0.00683594
119,-0.003881,0.632277,0.62614,0.00683594
120,-0.00388,0.633903,0.629415,0.00390625
121,-0.003879,0.640408,0.63269,0.0078125
122,-0.003878,0.642035,0.639241,0.00292969
123,-0.003877,0.650166,0.644153,0.00683594
124,-0.003876,0.653419,0.647429,0.00683594
125,-0.003875,0.656671,0.652341,0.00390625
126,-0.003874,0.66155,0.658892,0.00292969
127,-0.003873,0.664803,0.657254,0.0078125
128,-0.003872,0.668055,0.663804,0.00390625
129,-0.003871,0.672934,0.66708,0.00488281
130,-0.00387,0.677813,0.67363,0.00390625
131,-0.003869,0.681066,0.676905,0.00390625
132,-0.003868,0.687571,0.681818,0.00488281
133,-0.003867,0.690824,0.685093,0.00488281
134,-0.003866,0.694076,0.688368,0.00488281
135,-0.003865,0.697329,0.691643,0.00488281
136,-0.003864,0.700581,0.693281,0.0078125
137,-0.003863,0.70546,0.699831,0.00488281
138,-0.003862,0.708713,0.703106,0.00488281
139,-0.003861,0.713592,0.708019,0.00488281
140,-0.00386,0.716844,0.711294,0.00488281
141,-0.003859,0.720097,0.714569,0.00488281
142,-0.003858,0.72335,0.716207,0.0078125
143,-0.003857,0.726602,0.722757,0.00390625
144,-0.003856,0.729855,0.724395,0.00488281
145,-0.003855,0.734734,0.729308,0.00488281
146,-0.003854,0.737986,0.73422,0.00390625
147,-0.003853,0.742865,0.737495,0.00488281
148,-0.003852,0.746118,0.739133,0.0078125
149,-0.003851,0.74937,0.742408,0.0078125
150,-0.00385,0.752623,0.745683,0.0078125
151,-0.003849,0.755876,0.750596,0.00488281
152,-0.003848,0.760755,0.757146,0.00390625
153,-0.003847,0.764007,0.758784,0.00488281
154,-0.003846,0.76726,0.763697,0.00390625
155,-0.003845,0.770512,0.763697,0.00683594
156,-0.003844,0.772139,0.768609,0.00390625
157,-0.003843,0.775391,0.770247,0.00488281
158,-0.003842,0.778644,0.773522,0.00488281
159,-0.003841,0.781897,0.778435,0.00390625
160,-0.00384,0.786775,0.780073,0.00683594
161,-0.003839,0.790028,0.784985,0.00488281
162,-0.003838,0.791654,0.78826,0.00390625
163,-0.003837,0.794907,0.78826,0.00683594
164,-0.003836,0.79816,0.791536,0.00683594
165,-0.003835,0.801412,0.794811,0.00683594
166,-0.003834,0.804665,0.801361,0.00390625
167,-0.003833,0.809544,0.804636,0.00488281
168,-0.003832,0.809544,0.806274,0.00390625
169,-0.003831,0.812796,0.806274,0.00683594
170,-0.00383,0.814423,0.809549,0.00390625
171,-0.003829,0.817675,0.814462,0.00390625
172,-0.003828,0.820928,0.817737,0.00390625
173,-0.003827,0.82418,0.821012,0.00390625
174,-0.003826,0.827433,0.824287,0.00390625
175,-0.003825,0.830686,0.824287,0.00683594
176,-0.003824,0.832312,0.827562,0.00390625
177,-0.003823,0.833938,0.830837,0.00390625
178,-0.003822,0.835564,0.832475,0.00390625
179,-0.003821,0.838817,0.837388,0.000976563
180,-0.00382,0.84207,0.837388,0.00390625
181,-0.003819,0.845322,0.8423,0.00390625
182,-0.003818,0.848575,0.843938,0.00390625
183,-0.003817,0.851828,0.845576,0.00683594
184,-0.003816,0.851828,0.847213,0.00390625
185,-0.003815,0.853454,0.848851,0.00390625
186,-0.003814,0.85508,0.852126,0.00390625
187,-0.003813,0.859959,0.855401,0.00390625
188,-0.003812,0.861585,0.858676,0.00292969
189,-0.003811,0.866464,0.860314,0.00683594
190,-0.00381,0.864838,0.861951,0.00292969
191,-0.003809,0.868091,0.865227,0.00292969
192,-0.003808,0.869717,0.863589,0.00683594
193,-0.003807,0.871343,0.868502,0.00292969
194,-0.003806,0.876222,0.870139,0.00683594
195,-0.003805,0.876222,0.871777,0.00390625
196,-0.003804,0.879475,0.875052,0.00390625
197,-0.003803,0.879475,0.875052,0.00390625
198,-0.003802,0.881101,0.878327,0.00292969
199,-0.003801,0.882727,0.879965,0.00292969
200,-0.0038,0.884354,0.879965,0.00390625
201,-0.003799,0.887606,0.884878,0.00292969
202,-0.003798,0.890859,0.884878,0.00683594
203,-0.003797,0.890859,0.886515,0.00390625
204,-0.003796,0.894111,0.888153,0.00683594
205,-0.003795,0.894111,0.88979,0.00390625
206,-0.003794,0.897364,0.891428,0.00683594
207,-0.003793,0.897364,0.893065,0.00390625
208,-0.003792,0.89899,0.896341,0.00292969
209,-0.003791,0.902243,0.896341,0.00683594
210,-0.00379,0.902243,0.896341,0.00683594
211,-0.003789,0.903869,0.899616,0.00390625
212,-0.003788,0.903869,0.899616,0.00390625
213,-0.003787,0.905495,0.901253,0.00390625
214,-0.003786,0.908748,0.902891,0.00488281
215,-0.003785,0.910374,0.904528,0.00488281
216,-0.003784,0.910374,0.906166,0.00390625
217,-0.003783,0.912001,0.906166,0.00488281
218,-0.003782,0.913627,0.909441,0.00390625
219,-0.003781,0.913627,0.907804,0.00488281
220,-0.00378,0.915253,0.911079,0.00390625
221,-0.003779,0.915253,0.911079,0.00390625
222,-0.003778,0.918506,0.911079,0.0078125
223,-0.003777,0.921758,0.915991,0.00488281
224,-0.003776,0.918506,0.914354,0.00390625
225,-0.003775,0.920132,0.915991,0.00390625
226,-0.003774,0.921758,0.915991,0.00488281
