;Scopy version,48fb6a9
;Exported on,Friday July 26/07/2019
;Device,M2K
;Nr of samples,320
;Sample rate,1e+08
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V),M1(V)
0,-1.6e-06,0.482049,0.306136,0.175781
1,-1.59e-06,0.805797,0.310601,0.496094
2,-1.58e-06,0.826493,0.286784,0.539063
3,-1.57e-06,0.527875,0.239148,0.289063
4,-1.56e-06,0.0252511,0.18407,-0.158203
5,-1.55e-06,-0.483286,0.146855,-0.630859
6,-1.54e-06,-0.807034,0.143877,-0.951172
7,-1.53e-06,-0.829208,0.172161,-1.00098
8,-1.52e-06,-0.523198,0.222774,-0.746094
9,-1.51e-06,-0.0235313,0.270409,-0.292969
10,-1.5e-06,0.486484,0.306136,0.179688
11,-1.49e-06,0.804319,0.31209,0.492188
12,-1.48e-06,0.825014,0.285295,0.539063
13,-1.47e-06,0.527875,0.239148,0.289063
14,-1.46e-06,0.0237728,0.185558,-0.162109
15,-1.45e-06,-0.483286,0.146855,-0.630859
16,-1.44e-06,-0.807034,0.142389,-0.949219
17,-1.43e-06,-0.824773,0.170672,-0.996094
18,-1.42e-06,-0.520242,0.224262,-0.744141
19,-1.41e-06,-0.0294446,0.271898,-0.300781
20,-1.4e-06,0.483527,0.306136,0.176758
21,-1.39e-06,0.804319,0.313579,0.491211
22,-1.38e-06,0.825014,0.288272,0.536133
23,-1.37e-06,0.52344,0.239148,0.285156
24,-1.36e-06,0.0252511,0.185558,-0.160156
25,-1.35e-06,-0.480329,0.148343,-0.628906
26,-1.34e-06,-0.807034,0.142389,-0.949219
27,-1.33e-06,-0.82773,0.170672,-0.998047
28,-1.32e-06,-0.527633,0.221285,-0.748047
29,-1.31e-06,-0.0264879,0.271898,-0.298828
30,-1.3e-06,0.485005,0.304647,0.179688
31,-1.29e-06,0.807275,0.310601,0.496094
32,-1.28e-06,0.825014,0.288272,0.536133
33,-1.27e-06,0.526397,0.240637,0.285156
34,-1.26e-06,0.0267294,0.18407,-0.158203
35,-1.25e-06,-0.481807,0.148343,-0.630859
36,-1.24e-06,-0.808512,0.143877,-0.953125
37,-1.23e-06,-0.824773,0.172161,-0.996094
38,-1.22e-06,-0.524677,0.221285,-0.746094
39,-1.21e-06,-0.0294445,0.270409,-0.300781
40,-1.2e-06,0.483527,0.306136,0.176758
41,-1.19e-06,0.80284,0.309113,0.493164
42,-1.18e-06,0.823536,0.286784,0.536133
43,-1.17e-06,0.526397,0.23766,0.289063
44,-1.16e-06,0.0252511,0.181093,-0.15625
45,-1.15e-06,-0.480329,0.145366,-0.625
46,-1.14e-06,-0.808512,0.143877,-0.953125
47,-1.13e-06,-0.830686,0.172161,-1.00293
48,-1.12e-06,-0.527633,0.222774,-0.75
49,-1.11e-06,-0.0264879,0.271898,-0.298828
50,-1.1e-06,0.483527,0.306136,0.176758
51,-1.09e-06,0.805797,0.31209,0.493164
52,-1.08e-06,0.825015,0.286784,0.539063
53,-1.07e-06,0.526397,0.236171,0.290039
54,-1.06e-06,0.0237728,0.182581,-0.158203
55,-1.05e-06,-0.478851,0.146855,-0.625
56,-1.04e-06,-0.802599,0.143877,-0.947266
57,-1.03e-06,-0.824773,0.170672,-0.996094
58,-1.02e-06,-0.523198,0.219796,-0.742188
59,-1.01e-06,-0.0250096,0.26892,-0.292969
60,-1e-06,0.48057,0.304647,0.175781
61,-9.9e-07,0.804319,0.31209,0.492188
62,-9.8e-07,0.825015,0.286784,0.539063
63,-9.7e-07,0.524918,0.23766,0.288086
64,-9.6e-07,0.0237728,0.18407,-0.160156
65,-9.5e-07,-0.481807,0.146855,-0.628906
66,-9.4e-07,-0.808512,0.1409,-0.949219
67,-9.3e-07,-0.826251,0.170672,-0.996094
68,-9.2e-07,-0.527633,0.219796,-0.748047
69,-9.1e-07,-0.0235313,0.271898,-0.294922
70,-9e-07,0.485005,0.306136,0.179688
71,-8.9e-07,0.805797,0.31209,0.493164
72,-8.8e-07,0.825015,0.288272,0.536133
73,-8.7e-07,0.524918,0.239148,0.285156
74,-8.6e-07,0.0222945,0.18407,-0.162109
75,-8.5e-07,-0.483285,0.148343,-0.630859
76,-8.4e-07,-0.805556,0.142389,-0.947266
77,-8.3e-07,-0.824773,0.170672,-0.996094
78,-8.2e-07,-0.52172,0.222774,-0.744141
79,-8.1e-07,-0.0264879,0.271898,-0.298828
80,-8e-07,0.48057,0.306136,0.174805
81,-7.9e-07,0.80284,0.309113,0.493164
82,-7.8e-07,0.825015,0.286784,0.539063
83,-7.7e-07,0.527875,0.239148,0.289063
84,-7.6e-07,0.0267294,0.18407,-0.158203
85,-7.5e-07,-0.478851,0.143877,-0.623047
86,-7.4e-07,-0.807034,0.1409,-0.947266
87,-7.3e-07,-0.824773,0.170672,-0.996094
88,-7.2e-07,-0.523198,0.221285,-0.744141
89,-7.1e-07,-0.0250096,0.270409,-0.294922
90,-7e-07,0.483527,0.307624,0.175781
91,-6.9e-07,0.804319,0.310601,0.493164
92,-6.8e-07,0.822058,0.286784,0.535156
93,-6.7e-07,0.527875,0.236171,0.291992
94,-6.6e-07,0.0252511,0.182581,-0.158203
95,-6.5e-07,-0.483285,0.145366,-0.628906
96,-6.4e-07,-0.808512,0.142389,-0.951172
97,-6.3e-07,-0.824773,0.170672,-0.996094
98,-6.2e-07,-0.524677,0.221285,-0.746094
99,-6.1e-07,-0.0294445,0.26892,-0.298828
100,-6e-07,0.483527,0.306136,0.176758
101,-5.9e-07,0.805797,0.310601,0.496094
102,-5.8e-07,0.822058,0.286784,0.535156
103,-5.7e-07,0.52344,0.23766,0.285156
104,-5.6e-07,0.0193379,0.182581,-0.164063
105,-5.5e-07,-0.484764,0.146855,-0.630859
106,-5.4e-07,-0.80999,0.143877,-0.953125
107,-5.3e-07,-0.82773,0.172161,-1
108,-5.2e-07,-0.523198,0.224262,-0.748047
109,-5.1e-07,-0.0250096,0.271898,-0.296875
110,-5e-07,0.486484,0.306136,0.179688
111,-4.9e-07,0.804319,0.31209,0.492188
112,-4.8e-07,0.823536,0.286784,0.536133
113,-4.7e-07,0.524918,0.23766,0.288086
114,-4.6e-07,0.0252512,0.182581,-0.158203
115,-4.5e-07,-0.480329,0.145366,-0.625
116,-4.4e-07,-0.805556,0.1409,-0.947266
117,-4.3e-07,-0.824773,0.170672,-0.996094
118,-4.2e-07,-0.52172,0.221285,-0.742188
119,-4.1e-07,-0.0264879,0.26892,-0.294922
120,-4e-07,0.483527,0.304647,0.179688
121,-3.9e-07,0.805797,0.310601,0.496094
122,-3.8e-07,0.822058,0.286784,0.535156
123,-3.7e-07,0.524918,0.23766,0.288086
124,-3.6e-07,0.0222945,0.18407,-0.162109
125,-3.5e-07,-0.484764,0.145366,-0.630859
126,-3.4e-07,-0.808512,0.1409,-0.949219
127,-3.3e-07,-0.826251,0.170672,-0.996094
128,-3.2e-07,-0.523198,0.222774,-0.746094
129,-3.1e-07,-0.0264879,0.270409,-0.296875
130,-3e-07,0.483527,0.304647,0.179688
131,-2.9e-07,0.805797,0.310601,0.496094
132,-2.8e-07,0.825015,0.285295,0.539063
133,-2.7e-07,0.52344,0.23766,0.285156
134,-2.6e-07,0.0222946,0.185558,-0.164063
135,-2.5e-07,-0.483285,0.145366,-0.628906
136,-2.4e-07,-0.808512,0.142389,-0.951172
137,-2.3e-07,-0.824773,0.169184,-0.994141
138,-2.2e-07,-0.527633,0.221285,-0.748047
139,-2.1e-07,-0.0294445,0.270409,-0.300781
140,-2e-07,0.483527,0.303158,0.179688
141,-1.9e-07,0.799884,0.310601,0.489258
142,-1.8e-07,0.822058,0.286784,0.535156
143,-1.7e-07,0.526397,0.23766,0.289063
144,-1.6e-07,0.0237729,0.18407,-0.160156
145,-1.5e-07,-0.483285,0.145366,-0.628906
146,-1.4e-07,-0.80999,0.139412,-0.949219
147,-1.3e-07,-0.82773,0.170672,-0.998047
148,-1.2e-07,-0.523198,0.221285,-0.744141
149,-1.1e-07,-0.0250096,0.26892,-0.292969
150,-1e-07,0.485005,0.304647,0.179688
151,-9e-08,0.80284,0.31209,0.491211
152,-8e-08,0.823536,0.288272,0.535156
153,-7e-08,0.527875,0.236171,0.291992
154,-6e-08,0.0222946,0.181093,-0.158203
155,-5e-08,-0.483285,0.145366,-0.628906
156,-4e-08,-0.808512,0.1409,-0.949219
157,-3e-08,-0.82773,0.170672,-0.998047
158,-2e-08,-0.527633,0.221285,-0.748047
159,-1e-08,-0.0309228,0.26892,-0.300781
160,0,0.48057,0.304647,0.175781
161,1e-08,0.805797,0.310601,0.496094
162,2e-08,0.823536,0.285295,0.539063
163,3e-08,0.526397,0.23766,0.289063
164,4e-08,0.0222946,0.182581,-0.160156
165,5e-08,-0.484764,0.146855,-0.630859
166,6e-08,-0.808512,0.1409,-0.949219
167,7e-08,-0.829208,0.172161,-1.00098
168,8e-08,-0.524677,0.221285,-0.746094
169,9e-08,-0.0279662,0.26892,-0.296875
170,1e-07,0.482049,0.304647,0.176758
171,1.1e-07,0.80284,0.310601,0.492188
172,1.2e-07,0.822058,0.283806,0.539063
173,1.3e-07,0.527875,0.234682,0.292969
174,1.4e-07,0.0237729,0.182581,-0.158203
175,1.5e-07,-0.483285,0.145366,-0.628906
176,1.6e-07,-0.808512,0.142389,-0.951172
177,1.7e-07,-0.824773,0.170672,-0.996094
178,1.8e-07,-0.52172,0.221285,-0.742188
179,1.9e-07,-0.0264879,0.270409,-0.296875
180,2e-07,0.479092,0.304647,0.174805
181,2.1e-07,0.804319,0.310601,0.493164
182,2.2e-07,0.825015,0.285295,0.539063
183,2.3e-07,0.524918,0.234682,0.290039
184,2.4e-07,0.019338,0.182581,-0.164063
185,2.5e-07,-0.481807,0.145366,-0.626953
186,2.6e-07,-0.805555,0.142389,-0.947266
187,2.7e-07,-0.826251,0.172161,-0.998047
188,2.8e-07,-0.524677,0.222774,-0.748047
189,2.9e-07,-0.0235313,0.267432,-0.291016
190,3e-07,0.482049,0.306136,0.175781
191,3.1e-07,0.804319,0.310601,0.493164
192,3.2e-07,0.822058,0.283806,0.539063
193,3.3e-07,0.524918,0.234682,0.290039
194,3.4e-07,0.019338,0.182581,-0.164063
195,3.5e-07,-0.483285,0.146855,-0.630859
196,3.6e-07,-0.80999,0.1409,-0.951172
197,3.7e-07,-0.82773,0.169184,-0.996094
198,3.8e-07,-0.523198,0.221285,-0.744141
199,3.9e-07,-0.0279662,0.26892,-0.296875
200,4e-07,0.48057,0.306136,0.174805
201,4.1e-07,0.804319,0.31209,0.492188
202,4.2e-07,0.822058,0.286784,0.535156
203,4.3e-07,0.52344,0.234682,0.289063
204,4.4e-07,0.0237729,0.182581,-0.158203
205,4.5e-07,-0.484764,0.145366,-0.630859
206,4.6e-07,-0.80999,0.1409,-0.951172
207,4.7e-07,-0.826251,0.169184,-0.996094
208,4.8e-07,-0.527633,0.221285,-0.748047
209,4.9e-07,-0.0279662,0.270409,-0.298828
210,5e-07,0.482049,0.303158,0.179688
211,5.1e-07,0.801362,0.309113,0.492188
212,5.2e-07,0.822058,0.286784,0.535156
213,5.3e-07,0.524918,0.234682,0.290039
214,5.4e-07,0.0208163,0.182581,-0.162109
215,5.5e-07,-0.480329,0.145366,-0.625
216,5.6e-07,-0.807034,0.139412,-0.947266
217,5.7e-07,-0.824773,0.167695,-0.992188
218,5.8e-07,-0.52172,0.219796,-0.742188
219,5.9e-07,-0.0294445,0.267432,-0.296875
220,6e-07,0.482049,0.30167,0.179688
221,6.1e-07,0.80284,0.307624,0.496094
222,6.2e-07,0.825015,0.282318,0.542969
223,6.3e-07,0.526397,0.233194,0.292969
224,6.4e-07,0.0222946,0.182581,-0.160156
225,6.5e-07,-0.481807,0.143877,-0.625
226,6.6e-07,-0.807034,0.139412,-0.947266
227,6.7e-07,-0.826251,0.169184,-0.996094
228,6.8e-07,-0.524677,0.221285,-0.746094
229,6.9e-07,-0.0264878,0.267432,-0.292969
230,7e-07,0.485005,0.303158,0.182617
231,7.1e-07,0.804319,0.307624,0.496094
232,7.2e-07,0.822058,0.286784,0.535156
233,7.3e-07,0.52344,0.23766,0.285156
234,7.4e-07,0.0222946,0.181093,-0.158203
235,7.5e-07,-0.483285,0.142389,-0.625
236,7.6e-07,-0.807034,0.1409,-0.947266
237,7.7e-07,-0.820338,0.172161,-0.992188
238,7.8e-07,-0.523198,0.221285,-0.744141
239,7.9e-07,-0.0294444,0.270409,-0.300781
240,8e-07,0.485005,0.304647,0.179688
241,8.1e-07,0.802841,0.309113,0.493164
242,8.2e-07,0.823536,0.285295,0.539063
243,8.3e-07,0.527875,0.234682,0.292969
244,8.4e-07,0.0208163,0.181093,-0.160156
245,8.5e-07,-0.483285,0.145366,-0.628906
246,8.6e-07,-0.805555,0.1409,-0.947266
247,8.7e-07,-0.829208,0.169184,-0.998047
248,8.8e-07,-0.524677,0.222774,-0.748047
249,8.9e-07,-0.0279661,0.267432,-0.294922
250,9e-07,0.483527,0.303158,0.179688
251,9.1e-07,0.804319,0.310601,0.493164
252,9.2e-07,0.823536,0.286784,0.536133
253,9.3e-07,0.529353,0.234682,0.293945
254,9.4e-07,0.0237729,0.181093,-0.158203
255,9.5e-07,-0.483285,0.145366,-0.628906
256,9.6e-07,-0.805555,0.139412,-0.945313
257,9.7e-07,-0.823295,0.169184,-0.992188
258,9.8e-07,-0.527633,0.219796,-0.748047
259,9.9e-07,-0.0294444,0.270409,-0.300781
260,1e-06,0.480571,0.304647,0.175781
261,1.01e-06,0.801362,0.31209,0.489258
262,1.02e-06,0.825015,0.288272,0.536133
263,1.03e-06,0.524918,0.236171,0.289063
264,1.04e-06,0.023773,0.182581,-0.158203
265,1.05e-06,-0.483285,0.143877,-0.626953
266,1.06e-06,-0.80999,0.139412,-0.949219
267,1.07e-06,-0.82773,0.167695,-0.996094
268,1.08e-06,-0.524677,0.221285,-0.746094
269,1.09e-06,-0.0250095,0.26892,-0.292969
270,1.1e-06,0.486484,0.304647,0.182617
271,1.11e-06,0.804319,0.31209,0.492188
272,1.12e-06,0.826493,0.285295,0.541992
273,1.13e-06,0.527875,0.23766,0.290039
274,1.14e-06,0.023773,0.18407,-0.160156
275,1.15e-06,-0.484764,0.143877,-0.628906
276,1.16e-06,-0.807034,0.142389,-0.949219
277,1.17e-06,-0.82773,0.169184,-0.996094
278,1.18e-06,-0.526155,0.221285,-0.748047
279,1.19e-06,-0.0294444,0.26892,-0.298828
280,1.2e-06,0.480571,0.304647,0.175781
281,1.21e-06,0.804319,0.310601,0.493164
282,1.22e-06,0.826493,0.286784,0.539063
283,1.23e-06,0.527875,0.239148,0.289063
284,1.24e-06,0.023773,0.182581,-0.158203
285,1.25e-06,-0.484764,0.146855,-0.630859
286,1.26e-06,-0.808512,0.1409,-0.949219
287,1.27e-06,-0.826251,0.169184,-0.996094
288,1.28e-06,-0.526155,0.221285,-0.748047
289,1.29e-06,-0.0264878,0.270409,-0.296875
290,1.3e-06,0.483527,0.303158,0.179688
291,1.31e-06,0.805797,0.310601,0.496094
292,1.32e-06,0.825015,0.286784,0.539063
293,1.33e-06,0.52344,0.23766,0.285156
294,1.34e-06,0.0208164,0.182581,-0.162109
295,1.35e-06,-0.483285,0.146855,-0.630859
296,1.36e-06,-0.811469,0.1409,-0.953125
297,1.37e-06,-0.826251,0.170672,-0.996094
298,1.38e-06,-0.52172,0.222774,-0.744141
299,1.39e-06,-0.0279661,0.26892,-0.296875
300,1.4e-06,0.482049,0.306136,0.175781
301,1.41e-06,0.802841,0.31209,0.491211
302,1.42e-06,0.823536,0.285295,0.539063
303,1.43e-06,0.526397,0.23766,0.289063
304,1.44e-06,0.023773,0.182581,-0.158203
305,1.45e-06,-0.483285,0.145366,-0.628906
306,1.46e-06,-0.807034,0.142389,-0.949219
307,1.47e-06,-0.824773,0.172161,-0.996094
308,1.48e-06,-0.523198,0.218308,-0.742188
309,1.49e-06,-0.0264878,0.270409,-0.296875
310,1.5e-06,0.482049,0.303158,0.179688
311,1.51e-06,0.804319,0.31209,0.492188
312,1.52e-06,0.822058,0.286784,0.535156
313,1.53e-06,0.527875,0.23766,0.290039
314,1.54e-06,0.0252513,0.181093,-0.15625
315,1.55e-06,-0.480329,0.143877,-0.625
316,1.56e-06,-0.807034,0.1409,-0.947266
317,1.57e-06,-0.824773,0.169184,-0.994141
318,1.58e-06,-0.523198,0.221285,-0.744141
319,1.59e-06,-0.0279661,0.270409,-0.298828
